Date,VTI,VEA,BND,BNDX,FZROX,VFIDX,VFSUX,^GSPC,^DJI,^IXIC,^NYA
2000-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1455.219971,11357.50977,4131.149902,6762.109863
2000-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1399.420044,10997.92969,3901.689941,6543.759766
2000-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1402.109985,11122.65039,3877.540039,6567.029785
2000-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1403.449951,11253.25977,3727.129883,6635.439941
2000-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1441.469971,11522.55957,3882.620117,6792.669922
2000-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1457.599976,11572.2002,4049.669922,6838.450195
2000-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1438.560059,11511.08008,3921.189941,6774.47998
2000-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1432.25,11551.09961,3850.02002,6766.549805
2000-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1449.680054,11582.42969,3957.209961,6836.759766
2000-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1465.150024,11722.98047,4064.27002,6870.490234
2000-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1455.140015,11560.71973,4130.810059,6808.640137
2000-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1455.900024,11489.36035,4151.290039,6823.970215
2000-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1445.569946,11351.2998,4189.509766,6772.580078
2000-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1441.359985,11251.70996,4235.399902,6762.75
2000-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1401.530029,11008.16992,4096.080078,6611.120117
2000-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1410.030029,11029.88965,4167.410156,6606.779785
2000-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1404.089966,11032.99023,4069.909912,6644.850098
2000-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1398.560059,11028.01953,4039.560059,6627.189941
2000-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1360.160034,10738.87012,3887.070068,6469.109863
2000-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1394.459961,10940.53027,3940.350098,6574.009766
2000-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1409.280029,11041.0498,4051.97998,6606.890137
2000-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1409.119995,11003.2002,4073.959961,6618.419922
2000-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.969971,11013.44043,4210.97998,6657.540039
2000-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.369995,10963.7998,4244.140137,6628.669922
2000-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.23999,10905.79004,4321.77002,6596.319824
2000-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1441.719971,10957.59961,4427.5,6651.299805
2000-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1411.709961,10699.16016,4363.240234,6523.779785
2000-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1416.829956,10643.62988,4485.629883,6496.819824
2000-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1387.119995,10425.20996,4395.450195,6391.399902
2000-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1389.939941,10519.83984,4418.549805,6398.060059
2000-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1402.050049,10718.08984,4420.77002,6459.279785
2000-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1387.670044,10561.41016,4427.649902,6396.790039
2000-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1388.26001,10514.57031,4548.919922,6357.560059
2000-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1346.089966,10219.51953,4411.740234,6203.290039
2000-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1352.170044,10304.83984,4382.120117,6239.77002
2000-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1360.689941,10225.73047,4550.330078,6224.02002
2000-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1353.430054,10092.62988,4617.649902,6170.509766
2000-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1333.359985,9862.120117,4590.5,6094.910156
2000-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1348.050049,10038.65039,4577.850098,6177.169922
2000-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1366.420044,10128.30957,4696.689941,6266.419922
2000-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1379.189941,10137.92969,4784.080078,6338.740234
2000-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1381.76001,10164.91992,4754.509766,6360.100098
2000-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1409.170044,10367.2002,4914.790039,6454.950195
2000-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1391.280029,10170.5,4904.850098,6386.740234
2000-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1355.619995,9796.030273,4847.839844,6223.379883
2000-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1366.699951,9856.530273,4897.259766,6251.509766
2000-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1401.689941,10010.73047,5046.859863,6375.959961
2000-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1395.069946,9928.820313,5048.620117,6337.259766
2000-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1383.619995,9947.129883,4907.240234,6287.25
2000-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1359.150024,9811.240234,4706.629883,6221.899902
2000-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1392.140015,10131.41016,4582.620117,6397.319824
2000-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1458.469971,10630.59961,4717.390137,6708.399902
2000-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1464.469971,10595.23047,4798.129883,6692.959961
2000-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1456.630005,10680.24023,4610.0,6673.5
2000-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1493.869995,10907.33984,4711.680176,6796.689941
2000-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.640015,10866.7002,4864.75,6801.450195
2000-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1527.349976,11119.86035,4940.609863,6897.350098
2000-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1527.459961,11112.71973,4963.029785,6899.359863
2000-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1523.859985,11025.84961,4958.560059,6863.830078
